"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","NET","AGRWTH","A","2001",-1.19165882105821,
"JPN","HHDI","NET","AGRWTH","A","2002",1.16090183416402,
"JPN","HHDI","NET","AGRWTH","A","2003",0.015971581035387,
"JPN","HHDI","NET","AGRWTH","A","2004",1.43837273619862,
"JPN","HHDI","NET","AGRWTH","A","2005",0.933018781418887,
"JPN","HHDI","NET","AGRWTH","A","2006",0.236869963564036,
"JPN","HHDI","NET","AGRWTH","A","2007",1.23208795756759,
"JPN","HHDI","NET","AGRWTH","A","2008",-0.747216803667664,
"JPN","HHDI","NET","AGRWTH","A","2009",1.42500598723702,
"JPN","HHDI","NET","AGRWTH","A","2010",2.10699787093671,
"JPN","HHDI","NET","AGRWTH","A","2011",0.434565013121219,
"JPN","HHDI","NET","AGRWTH","A","2012",1.18183459150243,
"JPN","HHDI","NET","AGRWTH","A","2013",0.265273544800005,
"JPN","HHDI","NET","AGRWTH","A","2014",-1.131775340004,
"JPN","HHDI","NET","AGRWTH","A","2015",1.43619827993268,
"JPN","HHDI","NET","AGRWTH","A","2016",1.59689547285925,
"JPN","HHDI","NET","AGRWTH","A","2017",0.760825719985956,
"KOR","HHDI","NET","AGRWTH","A","1980",-8.44815875344722,
"KOR","HHDI","NET","AGRWTH","A","1981",6.03889795014223,
"KOR","HHDI","NET","AGRWTH","A","1982",8.31108955513641,
"KOR","HHDI","NET","AGRWTH","A","1983",10.5624175742106,
"KOR","HHDI","NET","AGRWTH","A","1984",10.9106700834826,
"KOR","HHDI","NET","AGRWTH","A","1985",7.09436153492205,
"KOR","HHDI","NET","AGRWTH","A","1986",14.5882592350147,
"KOR","HHDI","NET","AGRWTH","A","1987",12.433987027137,
"KOR","HHDI","NET","AGRWTH","A","1988",11.7902644008534,
"KOR","HHDI","NET","AGRWTH","A","1989",7.88885782136804,
"KOR","HHDI","NET","AGRWTH","A","1990",9.18997886730605,
